"----- PL/SQL Call Stack -----
  object      line  object
  handle    number  name
0x652b5358       304  package body BUILD.DEVLOG.LOG
0x92f37998       482  package body BUILD.MICCUSTCNSINWINSUPPLEMENT.FILLLINEEXP
0x98abfe58      4968  package body BUILD.MICCUSTSUPPLEMENTEXP.FILLLINE
0x98abfe58      3452  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLLINE
0x98abfe58      3387  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLLINE
0x98abfe58      3319  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLINVOICEDETAILS
0x98abfe58      2466  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLINVOICE
0x98abfe58      2384  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLINVOICE
0x98abfe58      2332  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLSHIPMENTDETAILS
0x98abfe58      1822  package body BUILD.MICCUSTSUPPLEMENTEXP.SUPPLSHIPMENT
0x8e2815d8     13910  package body BUILD.MICCUSTEXPCLOSE.INITCHECKCLOSURE
0x8e2815d8     14400  package body BUILD.MICCUSTEXPCLOSE.CLOSESHIPMENTSSEQUENTIAL
0x8e2815d8     14682  package body BUILD.MICCUSTEXPCLOSE.CLOSESHIPMENTS
0x8c44ea20      3277  package body BUILD.MICCUSTEXPORTSJEEAPI.CLOSESHIPMENTS
0x63fe9f20         1  anonymous block
"
