----- PL/SQL Call Stack -----
  object      line  object
  handle    number  name
0x652b5358       304  package body BUILD.DEVLOG.LOG
0x92f37998       413  package body BUILD.MICCUSTCNSINWINSUPPLEMENT.FILLLINE
0x918f9ae0      5711  package body BUILD.MICCUSTSUPPLEMENT.FILLLINE
0x918f9ae0      5751  package body BUILD.MICCUSTSUPPLEMENT.FILLLINE
0x918f9ae0      6053  package body BUILD.MICCUSTSUPPLEMENT.SUPPLLINE
0x918f9ae0      6189  package body BUILD.MICCUSTSUPPLEMENT.SUPPLLINE
0x918f9ae0      6404  package body BUILD.MICCUSTSUPPLEMENT.SUPPLINVOICEDETAILS
0x918f9ae0      6564  package body BUILD.MICCUSTSUPPLEMENT.SUPPLINVOICE
0x918f9ae0      6704  package body BUILD.MICCUSTSUPPLEMENT.SUPPLINVOICE
0x918f9ae0      6927  package body BUILD.MICCUSTSUPPLEMENT.SUPPLSHIPMENTDETAILS
0x918f9ae0      7172  package body BUILD.MICCUSTSUPPLEMENT.SUPPLSHIPMENT
0x96ded878      1711  package body BUILD.MICCUSTIMPCLOSE.SUPPLSHIPMENT
0x96ded878      1775  package body BUILD.MICCUSTIMPCLOSE.INITCHECKCLOSURE
0x96ded878     13730  package body BUILD.MICCUSTIMPCLOSE.CLOSEIMPORTSHIPMENT
0x96ded878     13830  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENTSSEQUENTIAL
0x96ded878     14075  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENTS
0x96ded878     13678  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENTS
0x92322a20      3159  package body BUILD.MICCUSTIMPORTSJEEAPI.CLOSESHIPMENTS
0x9279dcd8         1  anonymous block
