"----- PL/SQL Call Stack -----
  object      line  object
  handle    number  name
0x652b5358       304  package body BUILD.DEVLOG.LOG
0x62ceeab0      1106  package body BUILD.MICCNSINWINCLOSE.POSTCLOSESHIPMENTEXP
0x621e03b8         1  anonymous block
0x98a3b0d0       137  package body BUILD.MICCUSTEXPCLOSESUB.STARTDYNVERARB
0x8e2815d8      8520  package body BUILD.MICCUSTEXPCLOSE.CLOSE_AUSSDG
0x8e2815d8     14288  package body BUILD.MICCUSTEXPCLOSE.CLOSESHIPMENT
0x8e2815d8     14411  package body BUILD.MICCUSTEXPCLOSE.CLOSESHIPMENTSSEQUENTIAL
0x8e2815d8     14682  package body BUILD.MICCUSTEXPCLOSE.CLOSESHIPMENTS
0x8c44ea20      3277  package body BUILD.MICCUSTEXPORTSJEEAPI.CLOSESHIPMENTS
0x63fe9f20         1  anonymous block
"
