"----- PL/SQL Call Stack -----
  object      line  object
  handle    number  name
0x652b5358       304  package body BUILD.DEVLOG.LOG
0x62ceeab0       914  package body BUILD.MICCNSINWINCLOSE.PRECLOSESHIPMENT
0x91ef28e8         1  anonymous block
0x914b3590      2475  package body BUILD.MICCUSTIMPCLOSESUB.STARTDYNVERARB
0x96ded878     15512  package body BUILD.MICCUSTIMPCLOSE.CLOSE_EINSDG
0x96ded878     14542  package body BUILD.MICCUSTIMPCLOSE.CLOSE_EINSDG
0x96ded878     13517  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENT
0x96ded878     21578  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENT
0x96ded878     13747  package body BUILD.MICCUSTIMPCLOSE.CLOSEIMPORTSHIPMENT
0x96ded878     13830  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENTSSEQUENTIAL
0x96ded878     14075  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENTS
0x96ded878     13678  package body BUILD.MICCUSTIMPCLOSE.CLOSESHIPMENTS
0x92322a20      3159  package body BUILD.MICCUSTIMPORTSJEEAPI.CLOSESHIPMENTS
0x9279dcd8         1  anonymous block
"
